Report_ID,Ward_Number,Area_Location,Issue_Type,Severity,Submission_Date,Month_Year
ISSUE_00001,16.0,Koundampalayam,Unknown,Medium,2023-03-29,2023-03
ISSUE_00002,12.0,RS Puram,Unknown,Unknown,2025-03-08,2025-03
ISSUE_00003,12.0,RS Puram,Pothole,Unknown,2024-12-02,2024-12
ISSUE_00004,17.0,Unknown,Unknown,Unknown,2025-01-14,2025-01
ISSUE_00005,12.0,Peelamedu,Pothole,Unknown,2024-06-05,2024-06
ISSUE_00006,12.0,Saibaba Colony,Pothole,High,2024-10-27,2024-10
ISSUE_00007,12.0,Gandhipuram,Garbage Dump,Medium,2023-03-09,2023-03
ISSUE_00008,12.0,Saibaba Colony,Water Pipe Burst,Medium,2025-06-30,2025-06
ISSUE_00009,12.0,Peelamedu,Drainage Leakage,Unknown,2024-06-12,2024-06
ISSUE_00010,10.0,RS Puram,Garbage Dump,Unknown,2024-07-12,2024-07
ISSUE_00011,18.0,Peelamedu,Garbage Dump,High,2023-01-27,2023-01
ISSUE_00012,12.0,Gandhipuram,Drainage Leakage,Unknown,2023-10-24,2023-10
ISSUE_00013,13.0,Podanur,Unknown,High,2024-09-02,2024-09
ISSUE_00014,12.0,Ukkadam,Garbage Dump,High,2025-01-27,2025-01
ISSUE_00015,9.0,Unknown,Drainage Leakage,High,2023-11-20,2023-11
ISSUE_00016,6.0,Gandhipuram,Unknown,Medium,2023-01-12,2023-01
ISSUE_00017,12.0,Peelamedu,Water Pipe Burst,Medium,2025-03-03,2025-03
ISSUE_00018,12.0,Ganapathy,Pothole,High,2024-01-12,2024-01
ISSUE_00019,4.0,Ganapathy,Street Light Issue,High,2024-04-10,2024-04
ISSUE_00020,12.0,RS Puram,Water Pipe Burst,Medium,2023-05-14,2023-05
ISSUE_00021,12.0,Koundampalayam,Pothole,High,2024-06-17,2024-06
ISSUE_00022,12.0,Peelamedu,Drainage Leakage,Low,2024-02-15,2024-02
ISSUE_00023,12.0,Ukkadam,Garbage Dump,High,2024-06-07,2024-06
ISSUE_00024,12.0,Ukkadam,Unknown,Low,2023-04-19,2023-04
ISSUE_00025,3.0,Unknown,Water Pipe Burst,Medium,2023-09-01,2023-09
ISSUE_00026,12.0,Saibaba Colony,Drainage Leakage,High,2023-12-13,2023-12
ISSUE_00027,5.0,Ukkadam,Water Pipe Burst,High,2023-05-30,2023-05
ISSUE_00028,12.0,Peelamedu,Water Pipe Burst,Unknown,2025-01-21,2025-01
ISSUE_00029,12.0,Koundampalayam,Unknown,Low,2023-10-31,2023-10
ISSUE_00030,14.0,Ganapathy,Unknown,Medium,2024-07-11,2024-07
ISSUE_00031,12.0,Podanur,Pothole,Medium,2023-07-15,2023-07
ISSUE_00032,19.0,RS Puram,Water Pipe Burst,Low,2025-01-22,2025-01
ISSUE_00033,14.0,Ukkadam,Garbage Dump,Unknown,2023-05-03,2023-05
ISSUE_00034,13.0,Unknown,Unknown,Medium,2023-10-06,2023-10
ISSUE_00035,12.0,RS Puram,Garbage Dump,Unknown,2024-01-21,2024-01
ISSUE_00036,12.0,Unknown,Pothole,Low,2024-03-09,2024-03
ISSUE_00037,10.0,Peelamedu,Garbage Dump,Medium,2023-04-12,2023-04
ISSUE_00038,17.0,RS Puram,Water Pipe Burst,Unknown,2024-06-08,2024-06
ISSUE_00039,6.0,Saibaba Colony,Garbage Dump,Unknown,2024-09-13,2024-09
ISSUE_00040,12.0,Ganapathy,Street Light Issue,High,2024-06-04,2024-06
ISSUE_00041,20.0,Koundampalayam,Pothole,Medium,2023-06-29,2023-06
ISSUE_00042,12.0,Gandhipuram,Unknown,Unknown,2023-04-12,2023-04
ISSUE_00043,12.0,Saibaba Colony,Garbage Dump,High,2024-12-05,2024-12
ISSUE_00044,12.0,Unknown,Water Pipe Burst,High,2024-06-15,2024-06
ISSUE_00045,12.0,Gandhipuram,Unknown,Low,2024-05-05,2024-05
ISSUE_00046,7.0,Koundampalayam,Unknown,Unknown,2024-07-10,2024-07
ISSUE_00047,12.0,Gandhipuram,Pothole,Unknown,2024-08-05,2024-08
ISSUE_00048,9.0,Podanur,Garbage Dump,Unknown,2024-06-20,2024-06
ISSUE_00049,12.0,RS Puram,Water Pipe Burst,Low,2023-04-19,2023-04
ISSUE_00050,9.0,Peelamedu,Pothole,High,2025-04-30,2025-04
ISSUE_00051,12.0,Peelamedu,Unknown,Low,2024-09-27,2024-09
ISSUE_00052,12.0,Podanur,Unknown,Low,2025-06-08,2025-06
ISSUE_00053,11.0,Gandhipuram,Garbage Dump,Medium,2023-10-25,2023-10
ISSUE_00054,1.0,Koundampalayam,Garbage Dump,Medium,2024-01-14,2024-01
ISSUE_00055,12.0,RS Puram,Drainage Leakage,Unknown,2024-05-01,2024-05
ISSUE_00056,7.0,Gandhipuram,Unknown,Medium,2023-01-26,2023-01
ISSUE_00057,5.0,Gandhipuram,Drainage Leakage,Unknown,2024-09-01,2024-09
ISSUE_00058,12.0,Ganapathy,Unknown,High,2025-02-19,2025-02
ISSUE_00059,12.0,Ukkadam,Pothole,Unknown,2024-05-23,2024-05
ISSUE_00060,20.0,RS Puram,Water Pipe Burst,High,2023-02-28,2023-02
ISSUE_00061,12.0,Koundampalayam,Drainage Leakage,Low,2024-12-02,2024-12
ISSUE_00062,4.0,Podanur,Street Light Issue,Unknown,2023-08-30,2023-08
ISSUE_00063,8.0,RS Puram,Street Light Issue,Unknown,2025-04-13,2025-04
ISSUE_00064,12.0,Ganapathy,Pothole,Unknown,2023-06-19,2023-06
ISSUE_00065,13.0,Podanur,Garbage Dump,Unknown,2023-09-27,2023-09
ISSUE_00066,12.0,RS Puram,Water Pipe Burst,High,2023-11-13,2023-11
ISSUE_00067,5.0,Koundampalayam,Pothole,High,2023-10-03,2023-10
ISSUE_00068,12.0,Unknown,Drainage Leakage,Unknown,2023-05-23,2023-05
ISSUE_00069,1.0,Unknown,Water Pipe Burst,Medium,2023-04-30,2023-04
ISSUE_00070,12.0,Ukkadam,Drainage Leakage,Low,2023-08-17,2023-08
ISSUE_00071,8.0,Gandhipuram,Garbage Dump,Unknown,2023-12-15,2023-12
ISSUE_00072,7.0,Unknown,Drainage Leakage,Low,2024-10-07,2024-10
ISSUE_00073,12.0,Ukkadam,Garbage Dump,Unknown,2024-05-30,2024-05
ISSUE_00074,19.0,Podanur,Unknown,Medium,2023-05-09,2023-05
ISSUE_00075,4.0,Podanur,Water Pipe Burst,High,2023-09-24,2023-09
ISSUE_00076,12.0,Podanur,Water Pipe Burst,High,2025-06-04,2025-06
ISSUE_00077,8.0,Gandhipuram,Drainage Leakage,High,2025-03-14,2025-03
ISSUE_00078,12.0,Unknown,Unknown,Unknown,2024-12-13,2024-12
ISSUE_00079,12.0,Koundampalayam,Street Light Issue,High,2024-07-07,2024-07
ISSUE_00080,10.0,Ganapathy,Unknown,Low,2023-04-24,2023-04
ISSUE_00081,12.0,Ukkadam,Pothole,Unknown,2023-11-09,2023-11
ISSUE_00082,12.0,Gandhipuram,Garbage Dump,Unknown,2024-11-30,2024-11
ISSUE_00083,12.0,Ganapathy,Drainage Leakage,High,2023-08-27,2023-08
ISSUE_00084,12.0,Koundampalayam,Street Light Issue,Low,2023-05-29,2023-05
ISSUE_00085,9.0,Unknown,Street Light Issue,Medium,2023-01-02,2023-01
ISSUE_00086,14.0,Koundampalayam,Water Pipe Burst,Unknown,2023-06-16,2023-06
ISSUE_00087,12.0,Peelamedu,Water Pipe Burst,Unknown,2024-11-23,2024-11
ISSUE_00088,1.0,Unknown,Street Light Issue,High,2023-11-08,2023-11
ISSUE_00089,13.0,RS Puram,Drainage Leakage,Low,2024-10-09,2024-10
ISSUE_00090,19.0,Unknown,Pothole,Medium,2023-11-28,2023-11
ISSUE_00091,19.0,Ganapathy,Pothole,Medium,2023-06-19,2023-06
ISSUE_00092,12.0,RS Puram,Drainage Leakage,Unknown,2023-05-20,2023-05
ISSUE_00093,4.0,Ganapathy,Unknown,High,2023-03-04,2023-03
ISSUE_00094,16.0,Unknown,Street Light Issue,Unknown,2024-12-23,2024-12
ISSUE_00095,5.0,Ukkadam,Water Pipe Burst,Unknown,2024-09-12,2024-09
ISSUE_00096,7.0,Saibaba Colony,Street Light Issue,Unknown,2024-04-04,2024-04
ISSUE_00097,13.0,Ganapathy,Unknown,Unknown,2024-10-24,2024-10
ISSUE_00098,7.0,Gandhipuram,Unknown,Unknown,2023-11-01,2023-11
ISSUE_00099,10.0,RS Puram,Unknown,Unknown,2023-05-04,2023-05
ISSUE_00100,12.0,Ukkadam,Pothole,Unknown,2023-02-17,2023-02
ISSUE_00101,10.0,Ukkadam,Unknown,Medium,2024-05-06,2024-05
ISSUE_00102,7.0,Ukkadam,Street Light Issue,Medium,2025-02-28,2025-02
ISSUE_00103,20.0,Ukkadam,Unknown,Unknown,2024-12-02,2024-12
ISSUE_00104,12.0,Ukkadam,Street Light Issue,Unknown,2023-04-04,2023-04
ISSUE_00105,15.0,Koundampalayam,Garbage Dump,Unknown,2024-05-29,2024-05
ISSUE_00106,12.0,Podanur,Unknown,High,2023-06-16,2023-06
ISSUE_00107,12.0,Gandhipuram,Pothole,Unknown,2024-05-05,2024-05
ISSUE_00108,12.0,Gandhipuram,Street Light Issue,Medium,2024-08-29,2024-08
ISSUE_00109,5.0,Ganapathy,Pothole,High,2025-04-07,2025-04
ISSUE_00110,1.0,Peelamedu,Unknown,Unknown,2024-01-26,2024-01
ISSUE_00111,17.0,Unknown,Unknown,Unknown,2024-11-03,2024-11
ISSUE_00112,12.0,Gandhipuram,Water Pipe Burst,Unknown,2024-11-13,2024-11
ISSUE_00113,12.0,Gandhipuram,Pothole,Medium,2023-06-04,2023-06
ISSUE_00114,12.0,RS Puram,Garbage Dump,Unknown,2023-06-18,2023-06
ISSUE_00115,18.0,Peelamedu,Garbage Dump,High,2023-01-04,2023-01
ISSUE_00116,6.0,Saibaba Colony,Unknown,High,2025-03-10,2025-03
ISSUE_00117,19.0,Saibaba Colony,Drainage Leakage,High,2025-01-01,2025-01
ISSUE_00118,4.0,Gandhipuram,Drainage Leakage,Unknown,2024-05-18,2024-05
ISSUE_00119,12.0,Peelamedu,Street Light Issue,Unknown,2025-06-16,2025-06
ISSUE_00120,20.0,Koundampalayam,Street Light Issue,Medium,2023-07-06,2023-07
ISSUE_00121,12.0,Unknown,Pothole,Unknown,2024-10-25,2024-10
ISSUE_00122,8.0,Ganapathy,Street Light Issue,High,2023-01-26,2023-01
ISSUE_00123,20.0,Ukkadam,Drainage Leakage,Medium,2023-09-17,2023-09
ISSUE_00124,8.0,Saibaba Colony,Unknown,Unknown,2025-05-08,2025-05
ISSUE_00125,9.0,Gandhipuram,Garbage Dump,High,2023-11-07,2023-11
ISSUE_00126,12.0,Ganapathy,Garbage Dump,Unknown,2023-10-12,2023-10
ISSUE_00127,12.0,Gandhipuram,Street Light Issue,High,2024-09-17,2024-09
ISSUE_00128,20.0,Saibaba Colony,Water Pipe Burst,Unknown,2024-02-11,2024-02
ISSUE_00129,12.0,Gandhipuram,Pothole,Low,2024-03-07,2024-03
ISSUE_00130,12.0,Ganapathy,Unknown,Low,2023-06-09,2023-06
ISSUE_00131,12.0,Ukkadam,Unknown,Low,2023-03-04,2023-03
ISSUE_00132,12.0,Ganapathy,Drainage Leakage,Unknown,2024-06-18,2024-06
ISSUE_00133,4.0,Unknown,Pothole,Low,2025-07-06,2025-07
ISSUE_00134,16.0,Ganapathy,Pothole,Medium,2023-10-14,2023-10
ISSUE_00135,12.0,Ganapathy,Water Pipe Burst,Unknown,2023-06-08,2023-06
ISSUE_00136,10.0,RS Puram,Drainage Leakage,Unknown,2024-05-29,2024-05
ISSUE_00137,12.0,RS Puram,Garbage Dump,Unknown,2023-09-17,2023-09
ISSUE_00138,8.0,Saibaba Colony,Street Light Issue,Unknown,2024-07-25,2024-07
ISSUE_00139,12.0,Unknown,Drainage Leakage,High,2025-03-15,2025-03
